client_id,booking_date,room_type,hotel_id,booking_cost,currency
4,2016/11/02,first_class_2_bed,6,3140.0,GBP
2,2017-07-13,balcony_2_bed,2,2325.0,EUR
3,2017-10-17,standard_3_bed,6,2475.0,EUR
3,2018-01-16,standard_1_bed,4,,
1,2018/03/20,balcony_2_bed,1,2740.0,GBP
2,2019-10-10,standard_2_bed,5,1760.0,GBP
5,2019-12-24,standard_2_bed,3,4000.0,GBP
6,2019/09/14,first_class_2_bed,2,1840.0,GBP
4,2019-08-07,first_class_2_bed,1,2910.0,GBP
2,2020-08-07,first_class_2_bed,1,2910.0,GBP
3,2020-08-07,first_class_2_bed,1,2910.0,GBP
2,2021-08-07,standard_1_bed,1,2910.0,GBP
4,2021-08-07,standard_1_bed,1,2910.0,GBP
5,2021-08-07,standard_1_bed,1,2910.0,GBP
